Country,Year,Population,GDP Per Capita,Unemployment Rate
Nigeria,2008,152382506,2228,3.78
Nigeria,2009,156595758,1884,3.76
Nigeria,2010,160952853,2280,3.76
Nigeria,2011,165463745,2505,3.77
Nigeria,2012,170075932,2728,3.75
Nigeria,2013,174726123,2977,3.7
Nigeria,2014,179379016,3201,3.94
Nigeria,2015,183995785,2680,4.22
Nigeria,2016,188666931,2145,4.51
Nigeria,2017,193495907,1942,4.73
Zimbabwe,2008,12550347,352,5.08
Zimbabwe,2009,12679810,762,5.08
Zimbabwe,2010,12839771,938,5.19
Zimbabwe,2011,13025785,1083,5.37
Zimbabwe,2012,13265331,1290,5.14
Zimbabwe,2013,13555422,1408,4.99
Zimbabwe,2014,13855753,1407,4.77
Zimbabwe,2015,14154937,1410,5.28
Zimbabwe,2016,14452704,1422,5.8
Zimbabwe,2017,14751101,1192,6.28
